,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
37959,Sausage Party,,100.0,,,100.0
40736,The Godfather,100.0,99.0,98.0,91.96570083280358,97.2414252082009
22593,Breaking Bad,,95.0,97.0,94.95039566791635,95.65013188930546
28593,12 Angry Men,,100.0,97.0,88.92062774195182,95.30687591398394
37591,Harakiri,,100.0,98.0,85.36736807013433,94.45578935671143
35584,Modern Times,96.0,100.0,95.0,85.78153522382424,94.19538380595606
19553,Shoah,99.0,100.0,97.0,79.12965430062273,93.78241357515569
14522,Schindler's List,93.0,96.0,97.0,88.95886423426609,93.73971605856653
26819,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,96.0,99.0,94.0,84.91202278782609,93.47800569695653
40755,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,96.0,99.0,94.0,84.91202278782609,93.47800569695653
27393,Lawrence of Arabia,100.0,97.0,93.0,83.85096601650326,93.46274150412582
29797,Rear Window,,100.0,95.0,84.90470746041738,93.30156915347247
13711,Pulp Fiction,94.0,94.0,96.0,88.97317238336525,93.24329309584131
36877,City Lights,,98.0,96.0,85.71220506430295,93.23740168810099
30365,Ikiru,,100.0,97.0,82.37069133606903,93.12356377868969
37357,Metropolis,98.0,99.0,92.0,82.75638064220871,92.93909516055217
40410,The Kid,,100.0,96.0,82.59704809254137,92.8656826975138
28926,Witness for the Prosecution,,100.0,95.0,83.55286339689088,92.8509544656303
28878,Sweet Smell of Success,100.0,98.0,92.0,80.76849277187765,92.6921231929694
13440,Hoop Dreams,98.0,98.0,93.0,81.64811853422263,92.66202963355566
3416,Casablanca,,97.0,95.0,85.91873991315252,92.63957997105085
28176,North by Northwest,,100.0,94.0,83.8696387909173,92.62321293030577
30490,Singin' in the Rain,,100.0,95.0,82.81816652646064,92.6060555088202
15904,Sunset Boulevard,,98.0,95.0,84.78580628390762,92.59526876130253
19501,Ran,96.0,96.0,95.0,82.65303749934054,92.41325937483514
25941,Cool Hand Luke,,100.0,95.0,81.78410230062825,92.26136743354276
16216,Goodfellas,89.0,96.0,97.0,86.95497359812116,92.23874339953029
37461,The Wizard of Oz,100.0,99.0,89.0,80.91517058212746,92.22879264553187
30929,All About Eve,,100.0,94.0,82.67355486071321,92.22451828690441
25825,Star Wars: Episode IV - A New Hope,92.0,93.0,96.0,86.96385125975911,91.99096281493978
23221,Taxi Driver,93.0,99.0,93.0,82.94575376868153,91.98643844217038
25577,Berserk,,,99.0,84.92641121863412,91.96320560931706
27768,Yojimbo,,97.0,96.0,82.63451592638174,91.87817197546057
2941,Toy Story,92.0,100.0,92.0,82.95597479675979,91.73899369918995
31388,Kind Hearts and Coronets,,100.0,94.0,81.04949943536897,91.68316647845631
